成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
アスピリンアルミニウム,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA-derived catalog expansion,,
ACE阻害薬,アスピリンアルミニウム,中,腎機能障害のリスク増加,PMDA-derived catalog expansion,,
リチウム,ロキソプロフェンナトリウム水和物,中,リチウム中毒のリスク増加,PMDA-derived catalog expansion,,
ジクロフェナクナトリウム,リチウム,中,リチウム中毒のリスク増加,PMDA-derived catalog expansion,,
dl−メチルエフェドリンサッカリン塩,カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリンサッカリン塩,カフェイン水和物,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリンサッカリン塩,クエン酸カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリンサッカリン塩,安息香酸ナトリウムカフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリンサッカリン塩,無水カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリン塩酸塩,カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリン塩酸塩,カフェイン水和物,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリン塩酸塩,クエン酸カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリン塩酸塩,安息香酸ナトリウムカフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−メチルエフェドリン塩酸塩,無水カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−塩酸メチルエフェドリン,カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−塩酸メチルエフェドリン,カフェイン水和物,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−塩酸メチルエフェドリン,クエン酸カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−塩酸メチルエフェドリン,安息香酸ナトリウムカフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
dl−塩酸メチルエフェドリン,無水カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン,カフェイン水和物,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン,クエン酸カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン,安息香酸ナトリウムカフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン,無水カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン塩酸塩,カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン塩酸塩,カフェイン水和物,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン塩酸塩,クエン酸カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン塩酸塩,安息香酸ナトリウムカフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
エフェドリン塩酸塩,無水カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
カフェイン,プソイドエフェドリン塩酸塩,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
カフェイン水和物,プソイドエフェドリン塩酸塩,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
クエン酸カフェイン,プソイドエフェドリン塩酸塩,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
プソイドエフェドリン塩酸塩,安息香酸ナトリウムカフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
プソイドエフェドリン塩酸塩,無水カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
カフェイン,塩酸プソイドエフェドリン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
カフェイン水和物,塩酸プソイドエフェドリン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
クエン酸カフェイン,塩酸プソイドエフェドリン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
塩酸プソイドエフェドリン,安息香酸ナトリウムカフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
塩酸プソイドエフェドリン,無水カフェイン,中,動悸・不眠・血圧上昇の増強,PMDA-derived catalog expansion,,
カフェイン水和物,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA-derived catalog expansion,,
クエン酸カフェイン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA-derived catalog expansion,,
テオフィリン,安息香酸ナトリウムカフェイン,中,テオフィリン中毒のリスク増加,PMDA-derived catalog expansion,,
テオフィリン,無水カフェイン,中,テオフィリン中毒のリスク増加,PMDA-derived catalog expansion,,
カフェイン水和物,リチウム,低,リチウムの効果減弱,PMDA-derived catalog expansion,,
クエン酸カフェイン,リチウム,低,リチウムの効果減弱,PMDA-derived catalog expansion,,
リチウム,安息香酸ナトリウムカフェイン,低,リチウムの効果減弱,PMDA-derived catalog expansion,,
リチウム,無水カフェイン,低,リチウムの効果減弱,PMDA-derived catalog expansion,,
MAO阻害薬,dl−メチルエフェドリンサッカリン塩,高,重篤な血圧上昇・不整脈のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,dl−メチルエフェドリン塩酸塩,高,重篤な血圧上昇・不整脈のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,dl−塩酸メチルエフェドリン,高,重篤な血圧上昇・不整脈のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,エフェドリン塩酸塩,高,重篤な血圧上昇・不整脈のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,プソイドエフェドリン塩酸塩,高,重篤な血圧上昇・不整脈のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,塩酸プソイドエフェドリン,高,重篤な血圧上昇・不整脈のリスク,PMDA-derived catalog expansion,,
dl−メチルエフェドリンサッカリン塩,ベータ遮断薬,中,血圧上昇・心拍数の変動,PMDA-derived catalog expansion,,
dl−メチルエフェドリン塩酸塩,ベータ遮断薬,中,血圧上昇・心拍数の変動,PMDA-derived catalog expansion,,
dl−塩酸メチルエフェドリン,ベータ遮断薬,中,血圧上昇・心拍数の変動,PMDA-derived catalog expansion,,
エフェドリン塩酸塩,ベータ遮断薬,中,血圧上昇・心拍数の変動,PMDA-derived catalog expansion,,
プソイドエフェドリン塩酸塩,ベータ遮断薬,中,血圧上昇・心拍数の変動,PMDA-derived catalog expansion,,
ベータ遮断薬,塩酸プソイドエフェドリン,中,血圧上昇・心拍数の変動,PMDA-derived catalog expansion,,
dl−メチルエフェドリンサッカリン塩,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA-derived catalog expansion,,
dl−メチルエフェドリン塩酸塩,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA-derived catalog expansion,,
dl−塩酸メチルエフェドリン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA-derived catalog expansion,,
エフェドリン塩酸塩,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA-derived catalog expansion,,
ジゴキシン,プソイドエフェドリン塩酸塩,中,ジゴキシン中毒のリスク増加,PMDA-derived catalog expansion,,
ジゴキシン,塩酸プソイドエフェドリン,中,ジゴキシン中毒のリスク増加,PMDA-derived catalog expansion,,
dl−クロルフェニラミンマレイン酸塩,アルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
d−クロルフェニラミンマレイン酸塩,アルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
アルコール,クロルフェニラミンマレイン酸塩,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
dl−クロルフェニラミンマレイン酸塩,エチルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
d−クロルフェニラミンマレイン酸塩,エチルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
エチルアルコール,クロルフェニラミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
エチルアルコール,クロルフェニラミンマレイン酸塩,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
エチルアルコール,マレイン酸クロルフェニラミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
dl−クロルフェニラミンマレイン酸塩,ステアリルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
d−クロルフェニラミンマレイン酸塩,ステアリルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
クロルフェニラミン,ステアリルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
クロルフェニラミンマレイン酸塩,ステアリルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ステアリルアルコール,マレイン酸クロルフェニラミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
dl−クロルフェニラミンマレイン酸塩,ベンゾジアゼピン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
d−クロルフェニラミンマレイン酸塩,ベンゾジアゼピン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
クロルフェニラミンマレイン酸塩,ベンゾジアゼピン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ベンゾジアゼピン,マレイン酸クロルフェニラミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
dl−クロルフェニラミンマレイン酸塩,オピオイド,中,呼吸抑制のリスク増加,PMDA-derived catalog expansion,,
d−クロルフェニラミンマレイン酸塩,オピオイド,中,呼吸抑制のリスク増加,PMDA-derived catalog expansion,,
オピオイド,クロルフェニラミンマレイン酸塩,中,呼吸抑制のリスク増加,PMDA-derived catalog expansion,,
オピオイド,マレイン酸クロルフェニラミン,中,呼吸抑制のリスク増加,PMDA-derived catalog expansion,,
アルコール,ジフェンヒドラミンサリチル酸塩,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
アルコール,ジフェンヒドラミン塩酸塩,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
エチルアルコール,ジフェンヒドラミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
エチルアルコール,ジフェンヒドラミンサリチル酸塩,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
エチルアルコール,ジフェンヒドラミン塩酸塩,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ジフェンヒドラミン,ステアリルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ジフェンヒドラミンサリチル酸塩,ステアリルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ジフェンヒドラミン塩酸塩,ステアリルアルコール,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ジフェンヒドラミンサリチル酸塩,ベンゾジアゼピン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ジフェンヒドラミン塩酸塩,ベンゾジアゼピン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
オピオイド,ジフェンヒドラミンサリチル酸塩,中,呼吸抑制のリスク増加,PMDA-derived catalog expansion,,
オピオイド,ジフェンヒドラミン塩酸塩,中,呼吸抑制のリスク増加,PMDA-derived catalog expansion,,
ケトコナゾール,セチリジン塩酸塩,中,セチリジンの血中濃度上昇,PMDA-derived catalog expansion,,
エチルアルコール,フマル酸ケトチフェン,低,眠気の軽度増強,PMDA-derived catalog expansion,,
ステアリルアルコール,フマル酸ケトチフェン,低,眠気の軽度増強,PMDA-derived catalog expansion,,
エチルアルコール,オキサトミド,低,眠気の軽度増強,PMDA-derived catalog expansion,,
オキサトミド,ステアリルアルコール,低,眠気の軽度増強,PMDA-derived catalog expansion,,
ベクロメタゾンプロピオン酸エステル,ワーファリン,低,出血リスクの軽度増加,PMDA-derived catalog expansion,,
フルチカゾンプロピオン酸エステル,ワーファリン,低,出血リスクの軽度増加,PMDA-derived catalog expansion,,
MAO阻害薬,オキシメタゾリン塩酸塩,中,血圧上昇のリスク増加,PMDA-derived catalog expansion,,
オキシメタゾリン塩酸塩,ベータ遮断薬,低,血圧上昇の軽度リスク,PMDA-derived catalog expansion,,
MAO阻害薬,ナファゾリン塩酸塩,中,血圧上昇のリスク増加,PMDA-derived catalog expansion,,
ナファゾリン塩酸塩,ベータ遮断薬,低,血圧上昇の軽度リスク,PMDA-derived catalog expansion,,
MAO阻害薬,テトラヒドロゾリン塩酸塩,中,血圧上昇のリスク増加,PMDA-derived catalog expansion,,
MAO阻害薬,塩酸テトラヒドロゾリン,中,血圧上昇のリスク増加,PMDA-derived catalog expansion,,
テトラヒドロゾリン塩酸塩,ベータ遮断薬,低,血圧上昇の軽度リスク,PMDA-derived catalog expansion,,
ベータ遮断薬,塩酸テトラヒドロゾリン,低,血圧上昇の軽度リスク,PMDA-derived catalog expansion,,
MAO阻害薬,コデインリン酸塩水和物,高,重篤な副作用・セロトニン症候群のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,ジヒドロコデインリン酸塩,高,重篤な副作用・セロトニン症候群のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,リン酸ジヒドロコデイン,高,重篤な副作用・セロトニン症候群のリスク,PMDA-derived catalog expansion,,
SSRI,コデインリン酸塩水和物,高,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SSRI,ジヒドロコデインリン酸塩,高,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SSRI,リン酸ジヒドロコデイン,高,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SNRI,コデインリン酸塩水和物,高,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SNRI,ジヒドロコデインリン酸塩,高,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SNRI,リン酸ジヒドロコデイン,高,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
MAO阻害薬,デキストロメトルファンフェノールフタリン塩,高,重篤な副作用・セロトニン症候群のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,デキストロメトルファン臭化水素酸塩水和物,高,重篤な副作用・セロトニン症候群のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,フェノールフタリン酸デキストロメトルファン,高,重篤な副作用・セロトニン症候群のリスク,PMDA-derived catalog expansion,,
SSRI,デキストロメトルファンフェノールフタリン塩,中,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SSRI,デキストロメトルファン臭化水素酸塩水和物,中,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SSRI,フェノールフタリン酸デキストロメトルファン,中,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SNRI,デキストロメトルファンフェノールフタリン塩,中,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SNRI,デキストロメトルファン臭化水素酸塩水和物,中,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
SNRI,フェノールフタリン酸デキストロメトルファン,中,セロトニン症候群のリスク増加,PMDA-derived catalog expansion,,
ブロムヘキシン塩酸塩,ワーファリン,低,出血リスクの軽度増加,PMDA-derived catalog expansion,,
アンブロキソール塩酸塩,ワーファリン,低,出血リスクの軽度増加,PMDA-derived catalog expansion,,
L−カルボシステイン,ワーファリン,低,出血リスクの軽度増加,PMDA-derived catalog expansion,,
MAO阻害薬,フェニレフリン塩酸塩,高,重篤な血圧上昇・不整脈のリスク,PMDA-derived catalog expansion,,
フェニレフリン塩酸塩,ベータ遮断薬,中,血圧上昇・心拍数の変動,PMDA-derived catalog expansion,,
ジゴキシン,フェニレフリン塩酸塩,中,ジゴキシン中毒のリスク増加,PMDA-derived catalog expansion,,
エチルアルコール,マレイン酸カルビノキサミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ステアリルアルコール,マレイン酸カルビノキサミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
エチルアルコール,フマル酸クレマスチン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ステアリルアルコール,フマル酸クレマスチン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
エチルアルコール,塩酸プロメタジン,高,重篤な眠気・呼吸抑制のリスク,PMDA-derived catalog expansion,,
ステアリルアルコール,塩酸プロメタジン,高,重篤な眠気・呼吸抑制のリスク,PMDA-derived catalog expansion,,
MAO阻害薬,メトキシフェナミン塩酸塩,中,血圧上昇のリスク増加,PMDA-derived catalog expansion,,
ベンゾジアゼピン,硫酸ナトリウム,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
オピオイド,硫酸ナトリウム,中,便秘・排尿困難の増強,PMDA-derived catalog expansion,,
アルコール,パパベリン塩酸塩,低,眠気の軽度増強,PMDA-derived catalog expansion,,
エチルアルコール,パパベリン塩酸塩,低,眠気の軽度増強,PMDA-derived catalog expansion,,
エチルアルコール,塩酸パパベリン,低,眠気の軽度増強,PMDA-derived catalog expansion,,
ステアリルアルコール,パパベリン塩酸塩,低,眠気の軽度増強,PMDA-derived catalog expansion,,
ステアリルアルコール,塩酸パパベリン,低,眠気の軽度増強,PMDA-derived catalog expansion,,
エチルアルコール,塩酸ジフェンヒドラミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
ステアリルアルコール,塩酸ジフェンヒドラミン,中,眠気・注意力低下の増強,PMDA-derived catalog expansion,,
2−(4,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
2−(4,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
2−(4,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
2−(4,ACE阻害薬,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
2−(4,ARB,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
2−(4,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
2−(4,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
2−(4,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
2−(4,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
2−(4,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,ACE阻害薬,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,ARB,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,SSRI,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,MAO阻害薬,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
4 ́−ジアセトキシジフェニルメチル)ピリジン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
5−ジスルホン酸塩,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
