成分名,副作用レベル,副作用症状,禁忌条件,出典
臭化ブチルスコポラミン,中,口渇・便秘・排尿困難・めまい,緑内障・前立腺肥大・重篤な心疾患,
塩酸パパベリン,低,眠気・めまい・胃腸障害,重篤な肝疾患,
塩酸ジフェンヒドラミン,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,
イブプロフェンピコノール,中,胃腸障害・胃痛・吐き気,胃潰瘍の既往・胃腸障害の既往,PMDA-derived catalog expansion
アスピリンアルミニウム,中,胃腸障害・出血傾向・アレルギー,胃潰瘍・出血性疾患・アスピリン喘息,PMDA-derived catalog expansion
ロキソプロフェンナトリウム水和物,中,胃腸障害・眠気・めまい,胃潰瘍の既往・重篤な心疾患,PMDA-derived catalog expansion
ジクロフェナクナトリウム,高,胃腸障害・肝障害・腎障害,胃潰瘍・肝機能障害・腎機能障害,PMDA-derived catalog expansion
カフェイン水和物,低,不眠・動悸・めまい,心疾患・高血圧・不眠症,PMDA-derived catalog expansion
クエン酸カフェイン,低,不眠・動悸・めまい,心疾患・高血圧・不眠症,PMDA-derived catalog expansion
安息香酸ナトリウムカフェイン,低,不眠・動悸・めまい,心疾患・高血圧・不眠症,PMDA-derived catalog expansion
無水カフェイン,低,不眠・動悸・めまい,心疾患・高血圧・不眠症,PMDA-derived catalog expansion
dl−メチルエフェドリンサッカリン塩,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
dl−メチルエフェドリン塩酸塩,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
dl−塩酸メチルエフェドリン,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
エフェドリン塩酸塩,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
プソイドエフェドリン塩酸塩,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
dl−クロルフェニラミンマレイン酸塩,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,PMDA-derived catalog expansion
d−クロルフェニラミンマレイン酸塩,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,PMDA-derived catalog expansion
クロルフェニラミンマレイン酸塩,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,PMDA-derived catalog expansion
ジフェンヒドラミンサリチル酸塩,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,PMDA-derived catalog expansion
ジフェンヒドラミン塩酸塩,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,PMDA-derived catalog expansion
セチリジン塩酸塩,低,眠気・口渇・めまい,重篤な腎疾患,PMDA-derived catalog expansion
ベクロメタゾンプロピオン酸エステル,中,鼻の刺激感・乾燥・出血,感染症・重篤な鼻疾患,PMDA-derived catalog expansion
フルチカゾンプロピオン酸エステル,低,鼻の刺激感・乾燥・出血,感染症・重篤な鼻疾患,PMDA-derived catalog expansion
オキシメタゾリン塩酸塩,中,鼻の刺激感・乾燥・リバウンド,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
ナファゾリン塩酸塩,中,鼻の刺激感・乾燥・リバウンド,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
テトラヒドロゾリン塩酸塩,中,鼻の刺激感・乾燥・リバウンド,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
塩酸テトラヒドロゾリン,中,鼻の刺激感・乾燥・リバウンド,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
コデインリン酸塩水和物,高,眠気・めまい・吐き気・便秘,重篤な呼吸抑制・重篤な肝疾患,PMDA-derived catalog expansion
ジヒドロコデインリン酸塩,高,眠気・めまい・吐き気・便秘,重篤な呼吸抑制・重篤な肝疾患,PMDA-derived catalog expansion
リン酸ジヒドロコデイン,高,眠気・めまい・吐き気・便秘,重篤な呼吸抑制・重篤な肝疾患,PMDA-derived catalog expansion
デキストロメトルファンフェノールフタリン塩,低,眠気・めまい・吐き気,重篤な呼吸抑制,PMDA-derived catalog expansion
デキストロメトルファン臭化水素酸塩水和物,低,眠気・めまい・吐き気,重篤な呼吸抑制,PMDA-derived catalog expansion
フェノールフタリン酸デキストロメトルファン,低,眠気・めまい・吐き気,重篤な呼吸抑制,PMDA-derived catalog expansion
ブロムヘキシン塩酸塩,低,胃腸障害・発疹・めまい,重篤な肝疾患,PMDA-derived catalog expansion
アンブロキソール塩酸塩,低,胃腸障害・発疹・めまい,重篤な肝疾患,PMDA-derived catalog expansion
L−カルボシステイン,低,胃腸障害・発疹・めまい,重篤な肝疾患,PMDA-derived catalog expansion
フェニレフリン塩酸塩,中,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
メトキシフェナミン塩酸塩,中,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,PMDA-derived catalog expansion
硫酸ナトリウム,高,口渇・便秘・排尿困難・めまい,緑内障・前立腺肥大・重篤な心疾患,PMDA-derived catalog expansion
パパベリン塩酸塩,低,眠気・めまい・胃腸障害,重篤な肝疾患,PMDA-derived catalog expansion
2−(4,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
4 ́−ジアセトキシジフェニルメチル)ピリジン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
5−ジスルホン酸塩,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
DL−カルニチン塩化物,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
DL−メチオニン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
DL−塩化カルニチン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−アスコルビン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−アスパラギン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−アスパラギン酸カリウム,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−アスパラギン酸マグネシウム,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−アスパラギン酸マグネシウムカリウム,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−アルギニン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−イソロイシン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−エチルシステイン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−グルタミン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−グルタミン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−システイン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−トレオニン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−バリン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−ヒスチジン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−フェニルアラニン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−リシン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−リジン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
L−ロイシン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
dl−α−トコフェロールコハク酸エステル,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
dl−カンフル,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
dl−クロルフェニラミン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
dl−メチルエフェドリン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
dl−メントール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
d−α−トコフェロール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
d−カンフル,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
d−クロルフェニラミン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
d−ボルネオール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
l−メントール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
γ−オリザノール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
〔ニンジン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
まむし乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
やつめうなぎ油,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アカメガシワ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アカメガシワ軟,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アキョウ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アクリノール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アシタザノラスト,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アスコルビン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アスコルビン酸カルシウム,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アスパラギン酸カリウム,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アズレンスルホン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アズレンスルホン酸ナトリウム,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アセチルサリチル酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アセンヤク,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アゼラスチン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アマチャ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アミノエチルスルホン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アミノ安息香酸エチル,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アラントイン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アラントインクロルヒドロキシアルミニウム,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アリルイソプロピルアセチル尿素,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アルクロキサ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アルコール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アルジオキサ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アルニカチンキ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アルミニウム,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アルミノプロフェン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アロエ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アロエ葉,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
アンモニア,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリソウ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリソウエキス−A,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリソウエキス乾燥−A,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリソウ乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリソウ乾燥エキス−A,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリソウ流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリソウ軟稠,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリ草,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリ草エキス−S,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリ草乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリ草乾燥エキス−A,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリ草流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イカリ草軟稠,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イソプロピルアンチピリン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イソプロピルメチルフェノール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イノシット,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イノシトール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イプシロン−アミノカプロン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イミプロトリン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
イレイセン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
インチンコウ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
インドメタシン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
インヨウカク,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
インヨウカク流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
インヨウカク軟,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウイキョウ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウイキョウ油,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウイキョウ流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウコン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウコン流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウシ胆汁,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウフェナマート,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウルソデオキシコール酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウワウルシ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウワウルシ乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウンデシレン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
ウンデシレン酸亜鉛,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エイジツ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エコナゾール硝酸塩,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エストラジオール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エゾウコギ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エゾウコギエキス−S,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エゾウコギ乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エゾウコギ流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エゾノレンリソウ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エタノール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エチニルエストラジオール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エチルアルコール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エバスチン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エピナスチン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エルゴカルシフェロール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エレウテロコック乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エレウテロコック流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エンゴサク,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エンゴサク流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
エンメイソウ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オイゲノール,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウギ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウギ乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウギ流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウギ流エキス−A,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウギ流エキス−C,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウゴン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウゴン流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウセイ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウセイ流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウバク,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウバクチンキ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウバク乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウバク軟,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウバク軟稠,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウヒ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウヒ乾燥,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウヒ流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウレン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウレンチンキ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウレン抽出液,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウレン流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オウレン流エキス−B,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オキシコナゾール硝酸塩,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オキシテトラサイクリン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オキセサゼイン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オキソアミヂン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オクトチアミン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オリブ油,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オルトジクロロベンゼン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オロチン酸,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オロチン酸コリン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オロト酸コリン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オンジ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
オンジエキス−A,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
カイカ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
カイクジン,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
カイクジンチンキ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
カイクジン流,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
カイバ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
カイバチンキ,中,添付文書の副作用項参照(PMDA 市販薬成分),,PMDA catalog ingredient expansion (review recommended)
