製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
健婦丸,栃本天海堂,第2類,筋肉痛,打撲症,"15歳以上:1回30丸、1日3回、食前又は食間に服用
15歳未満の小児:服用しないでください
<用法・用量に関連する注意>
定められた用法・用量を厳守してください
食間とは、食後2~3時間を指します",15,"ケイヒ末
シャクヤク末
トウニン末
ブクリョウ末
ボタンピ末",禁止物質なし,,
漢方ナイトミン,明治薬品,第2類,睡眠障害,体力中等度以下で、心身が疲れ、精神不安、不眠などがあるものの次の諸症:不眠症、神経症,"次の量を食間に水又はお湯で服用してください
大人(15歳以上):1回4錠
1日3回服用
15歳未満:服用しないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守すること
2.吸湿しやすいため、服用のつどキャップをしっかりしめること
食間とは「食事と食事の間」を意味し、食後約2~3時間のことをいいます",15,"カンゾウ
サンソウニン
センキュウ
チモ
ブクリョウ",禁止物質なし,,
酸棗仁湯,東洋漢方製薬,第2類,睡眠障害,心身がつかれ弱って眠れないもの,"1包(1日量)につき水400mLを加えあまり強くない火にかけ200mLに煮つめ、紙袋とともに煎じかすを取り去り、食前1時間前又は食間空腹時に温服してください
大人(15歳以上):1回1包(1日量)煎じ液全量
1日3~2回に分けて服用
15歳未満:服用しないこと
<用法・用量に関連する注意>
用法・用量を厳守すること",15,"カンゾウ
サンソウニン
センキュウ
チモ
ブクリョウ",禁止物質なし,,
防已黄耆湯,東洋漢方製薬,第2類,胃腸薬,筋肉にしまりのない、いわゆる水ぶとり,"大人(15歳以上)は1包(1日量)につき水400mLを加えあまり強くない火にかけ200mLに煮つめ、紙袋とともに煎じかすを取り去り、3~2回に分けて食前1時間前又は食間空腹時に温服してください
小人(15歳未満4歳以上)は次記の量を1日3回に分けて服用してください
大人(15歳以上):1包(1日量)煎じ液全量
1日3~2回に分けて服用
15歳未満7歳以上:1包(1日量)煎じ液2/3量
7歳未満4歳以上:1包(1日量)煎じ液1/2量
1日3回に分けて服用
4歳未満:服用しないこと
<用法・用量に関連する注意>
1.小児に服用させる場合には、保護者の指導監督のもとに服用させること
2.用法・用量を厳守すること",4,"オウギ
カンゾウ
ショウキョウ
タイソウ
ビャクジュツ
ボウイ",禁止物質なし,,
ビトラックS,東洋漢方製薬,第2類,筋肉痛,ひざの痛み又はむくみ,"次記の量を食前又は食間に水又は温湯にて服用してください
大人(15歳以上):1回1包
15歳未満7歳以上:1回2/3包
7歳未満4歳以上:1回1/2包
4歳未満2歳以上:1回1/3包
1日3回服用
2歳未満:服用しないこと
<用法・用量に関連する注意>
1.小児に服用させる場合には、保護者の指導監督のもとに服用させること
2.用法・用量を厳守すること",2,"オウギ
カンゾウ
ショウキョウ
タイソウ
ビャクジュツ
ボウイ",禁止物質なし,,
ナイシトールG,小林製薬,第2類,鼻炎用薬,副鼻腔炎,"次の量を食前又は食間に水又はお湯で服用してください
大人(15歳以上):1回4錠
1日3回服用
15歳未満:服用しないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守すること
2.吸湿しやすいため、服用のつどキャップをしっかりしめること
食間とは「食事と食事の間」を意味し、食後約2~3時間のことをいいます",15,"オウゴン
カッセキ
カンゾウ
キキョウ
ケイガイ
サンシシ
シャクヤク
ショウキョウ
セッコウ
センキュウ
ダイオウ
トウキ
ハッカ
ビャクジュツ
ボウショウ
ボウフウ
マオウ
レンギョウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ピュアCホワイト,米田薬品工業,第3類,その他,"次の諸症状の緩和:しみ、そばかす、次の諸症状の緩和:日やけ・かぶれによる色素沈着
次の場合の出血予防:歯ぐきからの出血、鼻出血
「但し、これらの症状について、1カ月ほど使用しても改善がみられない場合は医師、薬剤師又は歯科医師に相談すること」
次の場合のビタミンCの補給:肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期","成人(15歳以上):1回2錠
7歳以上15歳未満:1回1錠
7歳未満:服用しないでください
1日3回食前又は食後に服用してください
<用法・用量に関連する注意>
用法・用量を厳守してください
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",7,"アスコルビン酸
コハク酸d−α−トコフェロール
ピリドキシン塩酸塩
リボフラビン
L−システイン",禁止物質なし,,
ピュアナCチュアブル錠,米田薬品工業,第3類,その他,"次の諸症状の緩和:しみ、そばかす、次の諸症状の緩和:日やけ・かぶれによる色素沈着
次の場合の出血予防:歯ぐきからの出血、鼻出血
「但し、これらの症状について、1カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談してください」
次の場合のビタミンCの補給:肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期","15歳以上:1回4錠
7歳以上15歳未満:1回2錠
5歳以上7歳未満:1回1錠
5歳未満は服用しないでください
1日3回食後、かむか、口中で溶かして服用してください
<用法・用量に関連する注意>
用法・用量を厳守してください
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",5,"アスコルビン酸
アスコルビン酸カルシウム
リボフラビン酪酸エステル",禁止物質なし,,
ホワイピュアEX,第一薬品工業,第3類,その他,"次の諸症状の緩和:しみ、そばかす、次の諸症状の緩和:日やけ・かぶれによる色素沈着
次の場合の出血予防:歯ぐきからの出血、鼻血
「但し、これらの症状について、1カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談すること」
次の場合のビタミンCの補給:肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期","次の1回量を1日2回服用してください
成人(15歳以上):1回2錠
7歳以上15歳未満:1回1錠
7歳未満:服用させないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください",7,"アスコルビン酸
トコフェロールコハク酸エステルカルシウム
ニコチン酸アミド
パントテン酸カルシウム
ピリドキシン塩酸塩
リボフラビン
L−システイン",禁止物質なし,,
ハイシー1000,アリナミン製薬,第3類,その他,"1.次の諸症状の緩和:しみ、そばかす、次の諸症状の緩和:日やけ・かぶれによる色素沈着
2.次の場合の出血予防:歯ぐきからの出血、鼻出血
3.次の場合のビタミンCの補給:肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期
「但し、前記1及び2の症状について、1カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談すること」","次の量を、食後に水又はお湯で服用すること
15歳以上:1回1包
1日1~2回服用
15歳未満:服用しないこと
<用法・用量に関連する注意>
用法・用量を厳守すること",15,"アスコルビン酸
リボフラビン酪酸エステル
L−アスコルビン酸ナトリウム",禁止物質なし,,
チョコラBBルーセントC,日東薬品工業,第3類,その他,"1.次の諸症状の緩和:しみ、そばかす、次の諸症状の緩和:日やけ・かぶれによる色素沈着
2.次の場合のビタミンCの補給:肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期
3.次の場合の出血予防:歯ぐきからの出血、鼻出血
「但し、前記1及び3の症状について、1カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談すること」","次の量を食前又は食後に水又はお湯で服用してください
成人(15歳以上):1回2錠
7歳以上15歳未満:1回1錠
1日3回服用
7歳未満:服用しないこと
<用法・用量に関連する注意>
小児(7歳以上15歳未満)に服用させる場合には、保護者の指導監督のもとに服用させてください",7,"アスコルビン酸
コハク酸d−α−トコフェロール
ニコチン酸アミド
ピリドキシン塩酸塩
リボフラビンリン酸エステルナトリウム
L−システイン",禁止物質なし,,
ビルタミンC-2000,至誠堂製薬,第3類,その他,"次の諸症状の緩和:しみ、そばかす、次の諸症状の緩和:日やけ・かぶれによる色素沈着
次の場合の出血予防:歯ぐきからの出血、鼻出血
「但し、これらの症状について、1カ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師にご相談ください」
次の場合のビタミンCの補給:肉体疲労時、妊娠、授乳期、病中病後の体力低下時、老年期","次の量を食後又は食間に服用します
15歳以上:1回1包
11歳以上15歳未満:1回2/3包
7歳以上11歳未満:1回1/2包
3歳以上7歳未満:1回1/3包
1歳以上3歳未満:1回1/4包
1日3回服用
1歳未満:服用しないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用してください",1,"アスコルビン酸
リボフラビン
L−アスコルビン酸ナトリウム",禁止物質なし,,
東洋漢方のセンナ顆粒S(分包),東洋漢方製薬,指定第2類,胃腸薬,"便秘
便秘に伴う次の症状の緩和:頭重、のぼせ、肌あれ、吹出物、食欲不振、腹部膨満、腸内異常醗酵、痔","大人(15歳以上):1回1/2~1包
15歳未満11歳以上:1回1/3~2/3包
11歳未満7歳以上:1回1/4~1/2包
1日2回服用
7歳未満:服用しないこと
前記の量を朝夕の空腹時に服用してください
但し、初回は最小量を用い、便通の具合や状態を見ながら少しずつ増量又は減量すること
<用法・用量に関連する注意>
1.小児に服用させる場合には、保護者の指導監督のもとに服用させること
2.用法・用量を厳守すること",7,センナ末,禁止物質なし,,
ミカサ浣腸N40,ムネ製薬,第2類,胃腸薬,便秘,"12歳以上1回1個(40g)を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守してください
2.本剤使用後は、便意が強まるまでしばらくがまんしてください(使用後、すぐに排便を試みると、薬剤のみが排出され、効果がみられないことがあります)
3.12歳未満の小児には、使用させないでください
4.浣腸にのみ使用してください(内服しないでください)",12,グリセリン,禁止物質なし,,
コトブキ浣腸40,ムネ製薬,第2類,胃腸薬,便秘,"12歳以上1回1個(40g)を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.12歳未満の小児には使用させないこと
4.浣腸にのみ使用すること
5.無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
6.冬季は容器を温湯(40°C)に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
グリセリン浣腸A10,ムネ製薬,第2類,胃腸薬,便秘,"1歳以上6歳未満1回1個(10g)を直腸内に注入します
1歳未満の乳児に使用する場合は、1回1個の約半量(約5g)を容器の1/2線により量り、直腸内に注入します
なお、使用残液は廃棄してください
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.小児に使用させる場合には、保護者の指導監督のもとに使用させること
4.特に乳幼児の場合には、安易な使用を避け、浣腸にたよりすぎないよう注意すること
5.浣腸にのみ使用すること",,グリセリン,禁止物質なし,,
スースカット浣腸10,ムネ製薬,第2類,胃腸薬,便秘,"1歳以上6歳未満1回1個(10g)を直腸内に注入します
1歳未満の乳児に使用する場合は、1回1個の約半量(約5g)を容器の1/2線により量り、直腸内に注入します
なお、使用残液は廃棄してください
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.小児に使用させる場合には、保護者の指導監督のもとに使用させること
4.特に乳幼児の場合には、安易な使用を避け、浣腸にたよりすぎないよう注意すること
5.浣腸にのみ使用すること",,グリセリン,禁止物質なし,,
コトブキ浣腸ひとおし,ムネ製薬,第2類,胃腸薬,便秘,"12歳以上1回1個(30g)を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.12歳未満の小児には使用させないこと
4.浣腸にのみ使用すること
5.無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
6.冬季は容器を温湯(40°C)に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
コトブキ浣腸40パステル,ムネ製薬,第2類,胃腸薬,便秘,"12歳以上1回1個(40g)を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.12歳未満の小児には使用させないこと
4.浣腸にのみ使用すること
5.無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
6.冬季は容器を温湯(40°C)に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
コトブキ浣腸30パステル,ムネ製薬,第2類,胃腸薬,便秘,"12歳以上1回1個(30g)を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.12歳未満の小児には使用させないこと
4.浣腸にのみ使用すること
5.無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
6.冬季は容器を温湯(40°C)に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
コリイス浣腸30,ムネ製薬,第2類,胃腸薬,便秘,"12歳以上1回1個(30g)を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.12歳未満の小児には使用させないこと
4.浣腸にのみ使用すること
5.無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
6.冬季は容器を温湯(40°C)に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,
本草センナ錠,本草製薬,指定第2類,胃腸薬,食欲減退,"次の量を1日2回朝夕の空腹時に服用すること
但し、初回は最小量を用い、便通の具合や状態をみながら少しずつ増量又は減量すること
大人(15歳以上):1回2~6錠
11歳以上15歳未満:1回1~4錠
7歳以上11歳未満:1回1~3錠
5歳以上7歳未満:1回1~2錠
1日2回服用
5歳未満:服用しないこと
<用法・用量に関連する注意>
小児に服用させる場合には、保護者の指導監督のもとに服用させること",5,センナ末,禁止物質なし,,
第一三共胃腸薬コアブロック散剤,東亜薬品,第2類,胃腸薬,むかつき、嘔気、二日酔のむかつき・悪酔のむかつき,"次の量を水又はお湯で服用してください
成人(15歳以上):1回1包
1日3回服用
食間又は就寝前に服用してください
15歳未満:服用しないでください
(食間とは食事と食事の間で、前の食事から2~3時間後のことです)
<用法・用量に関連する注意>
用法・用量を厳守してください",15,"セトラキサート塩酸塩
ロートエキス
水酸化マグネシウム
沈降炭酸カルシウム",禁止物質なし,,
ゼリア健胃内服液,ゼリア新薬工業,第2類,胃腸薬,過飲,"成人(15歳以上)1回1瓶、1日3回服用してください
なお、15歳未満は服用しないでください
用法・用量を守ること",15,"オウレン流エキス
キジツエキス",禁止物質なし,,
新バック液,全薬工業,第2類,胃腸薬,二日酔のむかつき・悪酔のむかつき、胃のむかつき、嘔気、悪心,"15歳以上1回1びん、1日3回食後に服用します
生薬配合製剤ですので、よく振ってから服用してください",,"アセンヤク
オウレン抽出液
カンゾウエキス
ケイヒ抽出液
ゲンチアナ抽出液
コショウ抽出液
ソウジュツ抽出液
チョウジ抽出液",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,
ソルマックプラス,大鵬薬品工業,第2類,胃腸薬,二日酔のむかつき・悪酔のむかつき、むかつき、胃のむかつき、嘔気、悪心,"成人(15歳以上)1回1本(25mL)を1日2回服用してください
服用間隔は4時間以上おいてください
小児(15歳未満)は服用しないでください
用法・用量を厳守してください",15,"アルコール
ウコン流エキス
オウレンチンキ
カルニチン塩化物
カンゾウ抽出物
ケイヒチンキ
ゲンチアナチンキ
ソウジュツ流エキス
チョウジチンキ
ニンジン流エキス",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,
ソルマックEX2,大鵬薬品工業,第2類,胃腸薬,過食,"成人(15歳以上)1日1回1本(50mL)を服用してください
小児(15歳未満)は服用しないでください
用法・用量を厳守してください",15,"アルコール
ウコン流エキス
エンメイソウエキス
オウレンチンキ
カルニチン塩化物
カンゾウ抽出物
ケイヒチンキ
ゲンチアナチンキ
ソウジュツ流エキス
チョウジチンキ
ニンジン流エキス",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,
高砂オウレン,高砂薬業,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"成人(15歳以上)は1日量3gを、水約300mLで約半量になるまで煮つめ、滓(カス)をこして取り去り、食前又は食間3回に分服する
(食間とは、食後2~3時間)",,オウレン,禁止物質なし,,
高砂オウレン末,高砂薬業,第2類,胃腸薬,胃弱、食欲不振、胃部膨満感・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,"成人(15歳以上)は1回量0.5g、1日3回、食前又は食間に服用する
(食間とは、食後2~3時間)",,オウレン末,禁止物質なし,,
