成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
アスピリン,ニガキ末,中,1 ) カンゾウを配合するため、長期連用により発現することがある。 14. 適用上の注意 14.1 薬剤調製時の注意 本剤は炭酸水素ナトリウムを含有するため、アスピリン、グルクロノラクトン、アスコルビン酸、イソニアジド、アスパラギン酸塩、ヒドララジン塩酸塩等と配合しないこと。配合した場合、湿潤、色調に変化を起こすことがある。 18. 薬効薬理 18.1 作用機序 18.1.1 炭酸水素ナトリウム、炭酸マグネシウム、沈降炭酸カルシウム 炭酸水素ナトリウムは速効性の制酸作用を示,PMDA iyakuSearch,,
ワーファリン,炭酸マグネシウム,高,"泄促進剤 プロベネシド ベンズブロマロン 尿酸排泄促進剤の尿酸排泄作用を減弱させる。 本剤が尿酸排泄促進剤の尿酸排泄に拮抗する。 抗凝固剤 クマリン系抗凝固剤 ワルファリンカリウム , クマリン系抗凝固剤の作用を増強し、出血時間の延長、消化管出血等を起こすことがあるので、クマリン系抗凝固剤を減量するなど、慎重に投与すること。 本剤は血漿蛋白に結合したクマリン系抗凝固剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用、消化管刺激による出血作用を有する。 抗凝固剤 血液凝固阻",PMDA iyakuSearch,,
リチウム,炭酸マグネシウム,中,ることがある。 本剤(高用量投与時)は血漿蛋白に結合したメトトレキサートと置換し、遊離させる。また、本剤はメトトレキサートの腎排泄を阻害すると考えられている。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがある。 本剤の腎におけるプロスタグランジン生合成抑制作用により、リチウムの腎排泄が減少し、血中濃度が上昇するためと考えられる。 チアジド系利尿剤 利尿・降圧作用を減弱するおそれがある。 本剤の腎におけるプロスタグランジン生合成抑制作用により、水・ナト,PMDA iyakuSearch,,
メトトレキサート,炭酸マグネシウム,中,血糖降下作用をもつ。また、血漿蛋白と結合したスルホニル尿素系血糖降下剤(トルブタミド等)と置換し、遊離のスルホニル尿素系血糖降下剤が増加すると考えられている。 メトトレキサート メトトレキサートの副作用(骨髄抑制、肝・腎・消化管障害等)が増強されることがある。 本剤(高用量投与時)は血漿蛋白に結合したメトトレキサートと置換し、遊離させる。また、本剤はメトトレキサートの腎排泄を阻害すると考えられている。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがある,PMDA iyakuSearch,,
アスピリン,炭酸マグネシウム,中,"うA81 承認番号等 承認番号 22100AMX01376000 販売開始年月 2009年9月 貯法・有効期間 貯法 室温保存 有効期間 3.5年 一般的名称 アスピリン/アルミニウム グリシネート/炭酸マグネシウム 2. 禁忌(次の患者には投与しないこと) 2.1 本剤及び本剤の成分又はサリチル酸系製剤に対し過敏症の既往歴のある患者 2.2 消化性潰瘍のある患者[胃出血の発現又は消化性潰瘍が悪化するおそれがある。] , 2.3 出血傾向のある患者[出血を増強するおそれがある",PMDA iyakuSearch,,
シクロスポリン,炭酸マグネシウム,中,合成を抑制し、β-遮断剤の降圧作用に拮抗する。 ドネペジル塩酸塩 消化性潰瘍を起こすことがある。 コリン系が賦活され胃酸分泌が促進される。 タクロリムス水和物 シクロスポリン 腎障害が発現することがある。 腎障害の副作用が相互に増強されると考えられる。 ザフィルルカスト ザフィルルカストの血漿中濃度が上昇することがある。 機序は不明である。 プロスタグランジンD 2 、トロンボキサンA 2 受容体拮抗剤(セラトロダスト、ラマトロバン) ヒト血漿蛋白結合に対する相互作用の検討(,PMDA iyakuSearch,,
フェニトイン,炭酸マグネシウム,中,バルプロ酸ナトリウム バルプロ酸ナトリウムの作用を増強し、振戦等を起こすことがある。 アスピリンは血漿蛋白に結合したバルプロ酸ナトリウムと置換し、遊離させる。 フェニトイン 総フェニトイン濃度を低下させるが、非結合型フェニトイン濃度を低下させないとの報告があるので、総フェニトイン濃度に基づいて増量する際には臨床症状等を慎重に観察すること。 本剤(高用量投与時)は血漿蛋白に結合したフェニトインと置換し、遊離させる。 アセタゾラミド アセタゾラミドの副作用を増強し、嗜眠、錯乱等の,PMDA iyakuSearch,,
SSRI,炭酸マグネシウム,中,"薬剤の非結合型分率が上昇することがある。 これら薬剤が本剤と血漿蛋白結合部位で置換し、遊離型血中濃度が上昇すると考えられる。 選択的セロトニン再取り込み阻害剤(SSRI) フルボキサミンマレイン酸塩 塩酸セルトラリン等 , 皮膚の異常出血(斑状出血、紫斑等)、出血症状(胃腸出血等)が報告されている。 SSRIの投与により血小板凝集が阻害され、本剤との併用により出血傾向が増強すると考えられる。 アルコール , 消化管出血が増強されるおそれがある。 アルコールによる胃粘膜障害と本",PMDA iyakuSearch,,
クマリン系抗凝血薬,炭酸マグネシウム,中,"序・危険因子 尿酸排泄促進剤 プロベネシド ベンズブロマロン 尿酸排泄促進剤の尿酸排泄作用を減弱させる。 本剤が尿酸排泄促進剤の尿酸排泄に拮抗する。 抗凝固剤 クマリン系抗凝固剤 ワルファリンカリウム , クマリン系抗凝固剤の作用を増強し、出血時間の延長、消化管出血等を起こすことがあるので、クマリン系抗凝固剤を減量するなど、慎重に投与すること。 本剤は血漿蛋白に結合したクマリン系抗凝固剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用、消化管刺激による出血作用を有する。",PMDA iyakuSearch,,
タクロリムス,炭酸マグネシウム,中,プロスタグランジン生合成を抑制し、β-遮断剤の降圧作用に拮抗する。 ドネペジル塩酸塩 消化性潰瘍を起こすことがある。 コリン系が賦活され胃酸分泌が促進される。 タクロリムス水和物 シクロスポリン 腎障害が発現することがある。 腎障害の副作用が相互に増強されると考えられる。 ザフィルルカスト ザフィルルカストの血漿中濃度が上昇することがある。 機序は不明である。 プロスタグランジンD 2 、トロンボキサンA 2 受容体拮抗剤(セラトロダスト、ラマトロバン) ヒト血漿蛋白結合に対,PMDA iyakuSearch,,
アスピリン,ジアスメン,中,1 ) カンゾウを配合するため、長期連用により発現することがある。 14. 適用上の注意 14.1 薬剤調製時の注意 本剤は炭酸水素ナトリウムを含有するため、アスピリン、グルクロノラクトン、アスコルビン酸、イソニアジド、アスパラギン酸塩、ヒドララジン塩酸塩等と配合しないこと。配合した場合、湿潤、色調に変化を起こすことがある。 18. 薬効薬理 18.1 作用機序 18.1.1 炭酸水素ナトリウム、炭酸マグネシウム、沈降炭酸カルシウム 炭酸水素ナトリウムは速効性の制酸作用を示,PMDA iyakuSearch,,
アスピリン,ウイキョウ末,中,1 ) カンゾウを配合するため、長期連用により発現することがある。 14. 適用上の注意 14.1 薬剤調製時の注意 本剤は炭酸水素ナトリウムを含有するため、アスピリン、グルクロノラクトン、アスコルビン酸、イソニアジド、アスパラギン酸塩、ヒドララジン塩酸塩等と配合しないこと。配合した場合、湿潤、色調に変化を起こすことがある。 18. 薬効薬理 18.1 作用機序 18.1.1 炭酸水素ナトリウム、炭酸マグネシウム、沈降炭酸カルシウム 炭酸水素ナトリウムは速効性の制酸作用を示,PMDA iyakuSearch,,
アスピリン,メチルメチオニンスルホニウムクロリド,高,解を防止(β-グルクロニダーゼ活性及びN-アセチル-β-グルコサミニダーゼ活性の抑制)する(ラット)。 18.2.2 実験潰瘍(エタノール、塩酸エタノール、塩酸アスピリン)における胃粘膜損傷を抑制する。インドメタシン前処理ではこれらの作用は低下する 2) (ラット)。 18.2.3 実験潰瘍(エタノール)に対して胃粘膜表層部の粘液糖蛋白量を増加・保持させる 3) (ラット)。 18.2.4 胃切除後の残胃粘膜の変性防止を認め、上皮の再生、粘液分泌を認める 4) (イヌ)。 1,PMDA iyakuSearch,,
ジゴキシン,メチルメチオニンスルホニウムクロリド,高,の吸収が阻害されると考えられる。 甲状腺ホルモン剤 レボチロキシンナトリウム水和物等 胆汁酸製剤 ウルソデオキシコール酸 ケノデオキシコール酸 ジギタリス製剤 ジゴキシン等 ジフルニサル これらの併用薬剤の効果を減弱させることがあるので、同時に服用させないなど慎重に投与すること。 消化管内で本剤と吸着することにより、これらの薬剤の吸収が阻害されると考えられている。 鉄剤 硫酸鉄水和物 フマル酸第一鉄等 これらの併用薬剤の効果を減弱させることがあるので、同時に服用させないなど慎,PMDA iyakuSearch,,
フェニトイン,水酸化アルミニウム,中,イクリン、ミノサイクリン等) ニューキノロン系抗菌剤 (シプロフロキサシン、トスフロキサシン等) イソニアジド ジギタリス製剤 (ジゴキシン、ジギトキシン等) フェニトイン フェノチアジン誘導体 (プロメタジン、アリメマジン等) β&minus;遮断剤 (プロプラノロール、ピンドロール等) 非ステロイド系解熱消炎鎮痛剤等 同時に服用することにより、これら併用薬剤の吸収を遅延又は阻害するおそれがある。 この作用は薬剤の服用時間をずらすことにより、弱まるとの報告がある。 本剤が併,PMDA iyakuSearch,,
ジゴキシン,水酸化アルミニウム,中,イクリン系抗生物質 (テトラサイクリン、ミノサイクリン等) ニューキノロン系抗菌剤 (シプロフロキサシン、トスフロキサシン等) イソニアジド ジギタリス製剤 (ジゴキシン、ジギトキシン等) フェニトイン フェノチアジン誘導体 (プロメタジン、アリメマジン等) β&minus;遮断剤 (プロプラノロール、ピンドロール等) 非ステロイド系解熱消炎鎮痛剤等 同時に服用することにより、これら併用薬剤の吸収を遅延又は阻害するおそれがある。 この作用は薬剤の服用時間をずらすことにより、弱,PMDA iyakuSearch,,
フェニトイン,乾燥水酸化アルミニウムゲル,中,イクリン、ミノサイクリン等) ニューキノロン系抗菌剤 (シプロフロキサシン、トスフロキサシン等) イソニアジド ジギタリス製剤 (ジゴキシン、ジギトキシン等) フェニトイン フェノチアジン誘導体 (プロメタジン、アリメマジン等) β&minus;遮断剤 (プロプラノロール、ピンドロール等) 非ステロイド系解熱消炎鎮痛剤等 同時に服用することにより、これら併用薬剤の吸収を遅延又は阻害するおそれがある。 この作用は薬剤の服用時間をずらすことにより、弱まるとの報告がある。 本剤が併,PMDA iyakuSearch,,
ジゴキシン,乾燥水酸化アルミニウムゲル,中,イクリン系抗生物質 (テトラサイクリン、ミノサイクリン等) ニューキノロン系抗菌剤 (シプロフロキサシン、トスフロキサシン等) イソニアジド ジギタリス製剤 (ジゴキシン、ジギトキシン等) フェニトイン フェノチアジン誘導体 (プロメタジン、アリメマジン等) β&minus;遮断剤 (プロプラノロール、ピンドロール等) 非ステロイド系解熱消炎鎮痛剤等 同時に服用することにより、これら併用薬剤の吸収を遅延又は阻害するおそれがある。 この作用は薬剤の服用時間をずらすことにより、弱,PMDA iyakuSearch,,
アスピリン,アルジオキサ,中,膜微小血管新生・血流改善作用 酢酸潰瘍において潰瘍部周辺の粘膜下血管及び漿膜面からの放射状血管を新生させ、早期に血管構築を完成させた(ラット) 11) 。また、アスピリンによる胃粘膜血流低下に対し抑制作用を示した(ラット) 12) 。 18.2.3 粘液合成分泌促進作用 酢酸潰瘍における組織化学的検討から、再生上皮及び潰瘍底肉芽組織の酸性ムコ多糖体を増加させた(ラット) 7) 。また、アスピリンにより惹起された胃粘膜中のヘキソサミンの減少を用量依存的に抑制し、同時に胃液中への,PMDA iyakuSearch,,
アズレンスルホン酸ナトリウム,ワーファリン,高,.0ESの承認されている用法及び用量は「通常成人1日3錠を3回に分割経口投与する。」である。 16.4 代謝 本剤はプロプラノロール、イミプラミン、ジアゼパム、ワルファリン基質としてチトクロームP450への影響を調べた結果、チトクロームP450へ影響を及ぼさなかった 2) ( in vitro )。 17. 臨床成績 17.1 有効性及び安全性に関する試験 17.1.1 国内第III相試験(二重盲検比較試験) 本剤は、アズレンスルホン酸ナトリウム水和物、L-グルタミンの単独投,PMDA iyakuSearch,,
アスピリン,アズレンスルホン酸ナトリウム,中,"18.2.1 胃粘膜損傷モデルに対する抑制作用 ラットを用いた各種胃粘膜損傷物質(タウロコール酸-塩酸、タウロコール酸-セロトニン、無水エタノール、アンモニア、アスピリン、インドメタシン及びジクロフェナク等)による胃粘膜障害を抑制する 7) , 12) , 13) , 14) 。 18.2.2 潰瘍治癒促進作用 ラットを用いた酢酸による胃・十二指腸の潰瘍モデルにおいて、アズレンスルホン酸ナトリウム水和物+L-グルタミンの併用投与群は、アズレンスルホン酸ナトリウム水和物、L-グ",PMDA iyakuSearch,,
アスピリン,スクラルファート水和物,中,ァート水和物は、正常胃粘膜部位に比較して胃及び十二指腸潰瘍部位に選択的に結合し、かつ保護層を形成することによって治癒を促進させた 4) 。同様に、エタノール及びアスピリン胃炎ラットにおいても 14 C-スクラルファート水和物の胃炎病巣への選択的結合・付着が確かめられた 5) 。消化性潰瘍及び胃炎患者に本剤を経口投与した際にも、本剤が潰瘍部位ないし胃炎病巣へ強固に結合していることが確認されており、本剤は炎症部位ないし潰瘍底の白苔中の蛋白成分と強力に結合し、保護層を形成することに,PMDA iyakuSearch,,
スクラルファート水和物,テオフィリン,中,阻害することがある。これらの作用は薬剤の服用時間をずらすことにより、弱まると考えられる。 消化管内で本剤と吸着することにより、これらの薬剤の吸収が阻害される。 テオフィリン徐放性製剤 同時に服用することにより、テオフィリン徐放性製剤のAUCが低下するおそれがある。 本剤がテオフィリン徐放性製剤の吸収を阻害するとの報告がある。 キニジン 等 制酸剤(乾燥水酸化アルミニウムゲル等)の投与により、併用薬剤の排泄が遅延することが知られている。 制酸剤による尿のpH上昇による。 11.,PMDA iyakuSearch,,
スクラルファート水和物,フェニトイン,中,とにより、弱まるとの報告がある。 アルミニウムイオンと併用薬剤が不溶性のキレートを形成し、消化管からの吸収を遅延又は阻害する。 ジギタリス製剤 ジゴキシン 等 フェニトイン テトラサイクリン系抗生物質 スルピリド 等 同時に服用することにより、これら併用薬剤の吸収を遅延又は阻害するおそれがある。この作用は薬剤の服用時間をずらすことにより、弱まるとの報告がある。 本剤が併用薬剤を吸着し、消化管からの吸収を遅延又は阻害する。 甲状腺ホルモン剤 レボチロキシンナトリウム水和物 等,PMDA iyakuSearch,,
ジゴキシン,スクラルファート水和物,中,上前に服用することにより、弱まるとの報告がある。 アルミニウムイオンと併用薬剤が不溶性のキレートを形成し、消化管からの吸収を遅延又は阻害する。 ジギタリス製剤 ジゴキシン 等 フェニトイン テトラサイクリン系抗生物質 スルピリド 等 同時に服用することにより、これら併用薬剤の吸収を遅延又は阻害するおそれがある。この作用は薬剤の服用時間をずらすことにより、弱まるとの報告がある。 本剤が併用薬剤を吸着し、消化管からの吸収を遅延又は阻害する。 甲状腺ホルモン剤 レボチロキシンナトリ,PMDA iyakuSearch,,
L−グルタミン,ワーファリン,高,.0ESの承認されている用法及び用量は「通常成人1日3錠を3回に分割経口投与する。」である。 16.4 代謝 本剤はプロプラノロール、イミプラミン、ジアゼパム、ワルファリン基質としてチトクロームP450への影響を調べた結果、チトクロームP450へ影響を及ぼさなかった 2) ( in vitro )。 17. 臨床成績 17.1 有効性及び安全性に関する試験 17.1.1 国内第III相試験(二重盲検比較試験) 本剤は、アズレンスルホン酸ナトリウム水和物、L-グルタミンの単独投,PMDA iyakuSearch,,
L−グルタミン,アスピリン,中,"18.2.1 胃粘膜損傷モデルに対する抑制作用 ラットを用いた各種胃粘膜損傷物質(タウロコール酸-塩酸、タウロコール酸-セロトニン、無水エタノール、アンモニア、アスピリン、インドメタシン及びジクロフェナク等)による胃粘膜障害を抑制する 7) , 12) , 13) , 14) 。 18.2.2 潰瘍治癒促進作用 ラットを用いた酢酸による胃・十二指腸の潰瘍モデルにおいて、アズレンスルホン酸ナトリウム水和物+L-グルタミンの併用投与群は、アズレンスルホン酸ナトリウム水和物、L-グ",PMDA iyakuSearch,,
アスピリン,ピレンゼピン塩酸塩水和物,中,"トレス負荷時、レセルピン投与時の胃粘液産生減少を抑制する(ラット) 20) 。 18.6 各種実験潰瘍に対する効果 18.6.1 シェイ、ストレス、レセルピン、アスピリン、インドメタシン、ヒスタミン及びシステアミン等の急性潰瘍に対して抗潰瘍作用を示す(ラット、モルモット、ミニブタ) 14) , 15) , 21) , 22) , 23) 。 18.6.2 熱灼潰瘍と熱灼&minus;コーチゾン潰瘍等の慢性潰瘍、さらに抗コリン剤では無効とされている酢酸潰瘍に対しても、治癒促進効",PMDA iyakuSearch,,
コンドロイチン硫酸エステルナトリウム,ワーファリン,高,肢冷却等があらわれることがある。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン クマリン系抗凝血剤の作用を増強し、出血時間の延長、消化管出血等を起こすことがあるので、クマリン系抗凝血剤を減量するなど慎重に投与すること。 本剤は、血漿蛋白に結合したクマリン系抗凝血剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用による出血作用を有する。 糖尿病用剤 インスリン製剤 トルブタミド 等,PMDA iyakuSearch,,
アスピリン,コンドロイチン硫酸エステルナトリウム,中,と 一般的名称 サリチル酸ナトリウム・コンドロイチン硫酸エステルナトリウム注射液 2. 禁忌(次の患者には投与しないこと) 2.1 本剤又はサリチル酸系化合物(アスピリン等)、コンドロイチン硫酸に対し過敏症の既往歴のある患者 2.2 妊婦又は妊娠している可能性のある女性 3. 組成・性状 3.1 組成 ザルチロン注 有効成分 1管(10mL)中&nbsp;&nbsp; 日局 サリチル酸ナトリウム&hellip;&nbsp;&nbsp; 400mg コンドロイチン硫酸エステルナ,PMDA iyakuSearch,,
インスリン,コンドロイチン硫酸エステルナトリウム,中,など慎重に投与すること。 本剤は、血漿蛋白に結合したクマリン系抗凝血剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用による出血作用を有する。 糖尿病用剤 インスリン製剤 トルブタミド 等 糖尿病用剤の作用を増強し、低血糖を起こすことがあるので、糖尿病用剤を減量するなど慎重に投与すること。 本剤は、血漿蛋白に結合した糖尿病用剤と置換し、遊離させる。 11. 副作用 次の副作用があらわれることがあるので、観察を十分に行い、異常が認められた場合には投与を中止し、適切な処置を行,PMDA iyakuSearch,,
クマリン系抗凝血薬,コンドロイチン硫酸エステルナトリウム,中,の体温下降、虚脱、四肢冷却等があらわれることがある。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン クマリン系抗凝血剤の作用を増強し、出血時間の延長、消化管出血等を起こすことがあるので、クマリン系抗凝血剤を減量するなど慎重に投与すること。 本剤は、血漿蛋白に結合したクマリン系抗凝血剤と置換し、遊離させる。また、本剤は血小板凝集抑制作用による出血作用を有する。 糖尿病用剤 インスリン製,PMDA iyakuSearch,,
エテンザミド,ワーファリン,高,ること。副作用があらわれやすい。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン クマリン系抗凝血剤(ワルファリン) の作用を増強するおそれがあるので、用量を調節するなど注意すること。 本剤は血漿蛋白に結合したクマリン系抗凝血剤と置換し、遊離させる。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがあるので血中のリチウム濃度に注意し、必要があれば減量すること。 本,PMDA iyakuSearch,,
エテンザミド,リチウム,中,抗凝血剤(ワルファリン) の作用を増強するおそれがあるので、用量を調節するなど注意すること。 本剤は血漿蛋白に結合したクマリン系抗凝血剤と置換し、遊離させる。 リチウム製剤 血中リチウム濃度を上昇させ、リチウム中毒を起こすおそれがあるので血中のリチウム濃度に注意し、必要があれば減量すること。 本剤は腎のプロスタグランジン生合成を抑制し、腎血流量を減少させることにより、リチウムの腎排泄を低下させる。 チアジド系利尿剤 チアジド系利尿剤の作用を減弱するおそれがある。 本剤は腎のプ,PMDA iyakuSearch,,
