製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
暖中錠,大峰堂薬品工業,第2類,解熱鎮痛薬,体力中等度以下で、手足が冷えて肩がこり、ときにみぞおちが膨満するものの次の諸症：頭痛、頭痛に伴うはきけ・頭痛に伴う嘔吐、しゃっくり,"次の量を１日３回食前又は食間に水又は白湯にて服用
成人（１５歳以上）：１回４錠
１５歳未満５歳以上：１回２錠
１日３回服用
５歳未満：服用しないこと
＜用法・用量に関連する注意＞
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",5,"ゴシュユ
ショウキョウ
タイソウ
ニンジン",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
ウチダの呉茱萸湯,ウチダ和漢薬,第2類,解熱鎮痛薬,みぞおちが膨満して手足が冷えるものの次の諸症：頭痛、頭痛に伴うはきけ、しゃっくり,"大人（１５歳以上）：１日１袋（１日分）に対し、水６００ｍＬを加え、あまり強くない火にかけ、約３００ｍＬに煮つめてから、袋をとりだし、３回に分けて、食前又は食間空腹時に温服する
１５歳未満：服用しないこと",15,"ゴシュユ
ショウキョウ
タイソウ
ニンジン",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
呉茱萸湯「タキザワ」,タキザワ漢方廠,第2類,解熱鎮痛薬,体力中等度以下で、手足が冷えて肩がこり、ときにみぞおちが膨満するものの次の諸症：頭痛、頭痛に伴うはきけ・頭痛に伴う嘔吐、しゃっくり,"１日２回朝夕の空腹時に、本品１包（１回分）を和紙袋入りのまま、水約３００ｍＬを加えて半量ぐらいまで煎じつめ、和紙袋とともに煎じかすを除き、次の量を服用してください
大人（１５歳以上）：１回全量
１５歳未満７歳以上：１回大人の２／３
７歳未満４歳以上：１回大人の１／２
４歳未満２歳以上：１回大人の１／３
２歳未満：１回大人の１／４
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．１歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください",,"ゴシュユ
ショウキョウ
タイソウ
ニンジン",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
呉茱萸湯エキス〔細粒〕１９,松浦薬業,第2類,解熱鎮痛薬,体力中等度以下で、手足が冷えて肩がこり、ときにみぞおちが膨満するものの次の諸症：頭痛、頭痛に伴うはきけ・頭痛に伴う嘔吐、しゃっくり,"次の量を食前又は食間に温湯又は水で服用してください
（食間とは食後２～３時間を指します）
分包剤
大人（１５歳以上）：１回１包
１５歳未満７歳以上：１回２／３包
７歳未満４歳以上：１回１／２包
４歳未満２歳以上：１回１／３包
２歳未満：１回１／４包
１日３回服用
大入り剤
大人（１５歳以上）：１回２．０ｇ
１５歳未満７歳以上：１回１．３ｇ
７歳未満４歳以上：１回１．０ｇ
４歳未満２歳以上：１回０．７ｇ
２歳未満：１回０．５ｇ以下
１日３回服用
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．１歳未満の乳児には、医師の診療を受けさせることを優先し、やむを得ない場合にのみ服用させてください",,"ゴシュユ
ショウキョウ
タイソウ
ニンジン",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
ホノミカンタン粒,剤盛堂薬品,第2類,解熱鎮痛薬,体力中等度以下で、手足が冷えて肩がこり、ときにみぞおちが膨満するものの次の諸症：頭痛、頭痛に伴うはきけ・頭痛に伴う嘔吐、しゃっくり,"次の量を食間注）に、コップ半分以上のぬるま湯にて服用してください
注）「食間」とは食後２～３時間を指します
成人（１５歳以上）：１回１．５ｇ（添付のサジ１．５杯）
７歳以上１５歳未満：１回成人の２／３の量（１．０ｇ）
４歳以上７歳未満：１回成人の１／２の量（０．７５ｇ）
２歳以上４歳未満：１回成人の１／３の量（０．５ｇ）
２歳未満：１回成人の１／４の量（０．３７５ｇ）
１日３回服用
＜用法・用量に関連する注意＞
１．用法・用量を厳守すること
２．小児に服用させる場合には、保護者の指導監督のもとに服用させること
３．１歳未満の乳児には、医師の診療を受けさせることを優先し、やむを得ない場合にのみ服用させること
４．生後３カ月未満の乳児には服用させないこと",,"ゴシュユ
ショウキョウ
タイソウ
ニンジン",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
清上けん痛湯エキス細粒Ｇ「コタロー」,小太郎漢方製薬,第2類,解熱鎮痛薬,体力に関わらず使用でき、慢性化した痛みのあるものの次の諸症：頭痛、顔面痛,"食前又は食間に服用してください
食間とは、食後２～３時間を指します
大人（１５歳以上）：１回１包又は２．２ｇ
１５歳未満７歳以上：１回２／３包又は１．５ｇ
７歳未満４歳以上：１回１／２包又は１．１ｇ
４歳未満２歳以上：１回１／３包又は０．７ｇ
２歳未満：１回１／４包又は０．６ｇ
１日３回服用
（大入り剤に添付のサジは、すり切り１杯で約０．６ｇです）
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
２．１歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください",,"オウゴン
カンゾウ
キクカ
キョウカツ
サイシン
ショウキョウ
センキュウ
ソウジュツ
トウキ
ドクカツ
バクモンドウ
ビャクシ
ボウフウ
マンケイシ",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
ウチダの大黄牡丹皮湯,ウチダ和漢薬,第2類,解熱鎮痛薬,下腹部に化膿性の腫瘍又は下腹部に凝結を認め、圧痛があり、便秘の傾向あるもので、発熱、自汗、悪寒などを伴うもの：痔疾、肛門周囲炎、月経不順及びこれに伴う障害,"大人（１５歳以上）：１日１袋（１日分）につき水６００ｍＬ（約３合３勺）を加え、あまり強くない火にかけ３００ｍＬ（約１合７勺）に煮つめ、袋をとり出し、２～３回に分けて食前１時間又は食間空腹時に温服する
１５歳未満：服用しないこと",15,"カシ
ダイオウ
トウニン
ボタンピ
硫酸ナトリウム",禁止物質なし,,
クラシエ釣藤散料エキス錠,クラシエ製薬,第2類,解熱鎮痛薬,体力中等度で、慢性に経過する頭痛、めまい、肩こりなどがあるものの次の諸症：慢性頭痛、神経症、高血圧の傾向のあるもの,"次の量を１日３回食前又は食間に水又は白湯にて服用
成人（１５歳以上）：１回４錠
１日３回服用
１５歳未満：服用しないこと",15,"カンゾウ
キクカ
ショウキョウ
セッコウ
チョウトウコウ
チンピ
ニンジン
ハンゲ
バクモンドウ
ブクリョウ
ボウフウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
チョウトーン「コタロー」,小太郎漢方製薬,第2類,解熱鎮痛薬,体力中等度で、慢性に経過する頭痛、めまい、肩こりなどがあるものの次の諸症：慢性頭痛、神経症、高血圧の傾向のあるもの,"食前又は食間に服用してください
食間とは、食後２～３時間を指します
大人（１５歳以上）：１回５錠
１５歳未満７歳以上：１回４錠
７歳未満５歳以上：１回３錠
１日３回服用
５歳未満：服用しないでください
＜用法・用量に関連する注意＞
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",5,"カンゾウ
キクカ
ショウキョウ
セッコウ
チョウトウコウ
チンピ
ニンジン
ハンゲ
バクモンドウ
ブクリョウ
ボウフウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
釣藤散エキス細粒Ｇ「コタロー」,小太郎漢方製薬,第2類,解熱鎮痛薬,体力中等度で、慢性に経過する頭痛、めまい、肩こりなどがあるものの次の諸症：慢性頭痛、神経症、高血圧の傾向のあるもの,"食前又は食間に服用してください
食間とは、食後２～３時間を指します
大人（１５歳以上）：１回１包又は２．０ｇ
１５歳未満７歳以上：１回２／３包又は１．３ｇ
７歳未満４歳以上：１回１／２包又は１．０ｇ
１日３回服用
４歳未満：服用しないでください
（大入り剤に添付のサジは、すり切り１杯で約０．６ｇです）
＜用法・用量に関連する注意＞
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",4,"カンゾウ
キクカ
ショウキョウ
セッコウ
チョウトウコウ
チンピ
ニンジン
ハンゲ
バクモンドウ
ブクリョウ
ボウフウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
チョウトーンＮ「コタロー」,小太郎漢方製薬,第2類,解熱鎮痛薬,体力中等度で、慢性に経過する頭痛、めまい、肩こりなどがあるものの次の諸症：慢性頭痛、神経症、高血圧の傾向のあるもの,"食前又は食間に服用してください
食間とは、食後２～３時間を指します
大人（１５歳以上）：１回４錠
１５歳未満７歳以上：１回３錠
７歳未満５歳以上：１回２錠
１日３回服用
５歳未満：服用しないでください
＜用法・用量に関連する注意＞
小児に服用させる場合には、保護者の指導監督のもとに服用させてください",5,"カンゾウ
キクカ
ショウキョウ
セッコウ
チョウトウコウ
チンピ
ニンジン
ハンゲ
バクモンドウ
ブクリョウ
ボウフウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
