製品名,Summarized Efficacy
ブルミン,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ＪＡクミアイ総合感冒カプセル,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
テラポニンエース錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ＪＡ新感冒錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
サインＫＢ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ヒストルミン,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ヒストミンエース錠ＥＸ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ビタクールＫＢ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ブルミンＫＢ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ヒストミンＫＢ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ブルミンエース顆粒Ｇ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ビタクールＴＭ錠,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ハリーエースプレミアム,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
セレチールＫ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ビタクール錠ハイプラス,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ルキノンエースα,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
サインＴＭ錠,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ナオーレゴールド,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ビタコールＴＭ錠,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ブルミンゴールドＶ微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ルグナン錠ＥＸα,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
小児用ハリーかぜシロップＡ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
小児用ヒストミンかぜシロップＤ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
小児用ヒストルミンかぜシロップＤ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
小児用ビタクールＤかぜシロップ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
小児用ブルミンかぜシロップＶ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ハリープレミアムＮＸ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
セシオンハイＰｒｏ,かぜの諸症状（のどの痛み、せき、たん、鼻水、鼻づまり、くしゃみ、発熱、悪寒、頭痛、関節の痛み、筋肉の
ビタコール錠ハイＧＴ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ヒストミンエース錠ハイα,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ブルミンエースプレミアム,かぜの諸症状（のどの痛み、せき、たん、鼻水、鼻づまり、くしゃみ、発熱、悪寒、頭痛、関節の痛み、筋肉の
サインゴールドＡ微粒,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ビタクールＳα錠,かぜの諸症状（のどの痛み、発熱、悪寒（発熱によるさむけ）、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん
ルキノンＳα,かぜの諸症状（のどの痛み、発熱、悪寒（発熱によるさむけ）、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん
ヒストミンゴールドＡ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
新イストニン顆粒,かぜの諸症状（のどの痛み、発熱、悪寒（発熱によるさむけ）、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん
セシオンハイＰｒｏＥＸ,かぜの諸症状（のどの痛み、せき、たん、鼻水、鼻づまり、くしゃみ、発熱、悪寒、頭痛、関節の痛み、筋肉の
ハリーエースプレミアムα,かぜの諸症状（のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の
ブルミンエースプレシア顆粒,かぜの諸症状（のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の
ブルミンエースプレシア,かぜの諸症状（のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の
ルキノンエースαネオ,かぜの諸症状（のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の
テラポニンＳα,かぜの諸症状（のどの痛み、発熱、悪寒（発熱によるさむけ）、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん
ヒストミンエースプレミアム,かぜの諸症状（のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の
ブルミンＳα,かぜの諸症状（のどの痛み、発熱、悪寒（発熱によるさむけ）、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん
ビタクール錠プレミアムＮＤ,かぜの諸症状（のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の
ビタクール錠プレミアムＮＳ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ビタクール錠プレミアムＨＮ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、発熱、悪寒、頭痛、関節の痛み、筋肉の
新ヒストルミンＡ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、発熱、悪寒（発熱によるさむけ）、頭痛
ビタクール錠プレミアムＳＫ,かぜの諸症状（せき、たん、のどの痛み、鼻水、鼻づまり、くしゃみ、発熱、悪寒、頭痛、関節の痛み、筋肉の
ヒストミンＳα,かぜの諸症状（のどの痛み、発熱、悪寒（発熱によるさむけ）、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん
ルグナン錠ＥＸαプレミアム,かぜの諸症状（のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の
アンバーかぜゴールド,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ゴールドエースＡ微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新アスロンエースＡ微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新アンバーゴールドＡ微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新スカイブブロンゴールド微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新総合感冒薬Ａ微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ラフレッドゴールドＡα,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新アンバーＳ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新感冒薬エースＳ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新感冒薬コロナＳα,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新スカイブブロンゴールド錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ラフレッドゴールドＳα,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新スマイルメディック,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
カイダーＳα,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ビタトレールゴールドＡ微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ラクロンゴールド微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
カゼットエース総合かぜ薬,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
アデロンゴールド微粒Ａ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
パストンゴールドＡ微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
アンバーＳα錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
新カンボーエース錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
デキロンＳα,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
新カンボーエースα微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新ラクロンゴールドＡ微粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
改源,かぜの諸症状（のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み）の緩和。
カイゲンかぜシロップ小児用Ｓ,かぜの諸症状（発熱、せき、鼻水、鼻づまり、くしゃみ、頭痛、のどの痛み、たん、悪寒、関節の痛み、筋肉の
改源錠,かぜの諸症状（のどの痛み、発熱、頭痛、せき、たん、悪寒、関節の痛み、筋肉の痛み）の緩和。
ストナアイビー,かぜの諸症状（発熱、頭痛、のどの痛み、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、関節の痛み、筋肉の
ストナジェルサイナス,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
ストナシロップＡ小児用,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ストナデイタイム,かぜの諸症状（発熱、頭痛、のどの痛み、せき、たん、悪寒、関節の痛み、筋肉の痛み）の緩和。
ストナプラス２,かぜの諸症状（せき、発熱、悪寒、たん、鼻水、鼻づまり、くしゃみ、のどの痛み、頭痛、関節の痛み、筋肉の
学童ストナ,かぜの諸症状（発熱、せき、鼻づまり、鼻水、たん、頭痛、悪寒、くしゃみ、のどの痛み、関節の痛み、筋肉の
ペラックコールドＴＤ錠,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ストナアイビージェル,かぜの諸症状（のどの痛み、発熱、鼻水、鼻づまり、悪寒、関節の痛み、頭痛、筋肉の痛み、くしゃみ、せき、
ストナプラスジェル２,かぜの諸症状（せき、発熱、たん、鼻水、鼻づまり、くしゃみ、のどの痛み、悪寒、頭痛、関節の痛み、筋肉の
ストナメルティ小児用,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ストナアイビージェルＳ,かぜの諸症状（のどの痛み、発熱、悪寒（発熱によるさむけ）、たん、鼻水、鼻づまり、くしゃみ、せき、頭痛
ストナプラスジェルＳ,かぜの諸症状（せき、たん、発熱、悪寒（発熱によるさむけ）、鼻水、鼻づまり、くしゃみ、のどの痛み、頭痛
新ストナエースＧ,かぜの諸症状（発熱、せき、鼻づまり、鼻水、たん、頭痛、悪寒、くしゃみ、関節の痛み、筋肉の痛み、のどの
ストナジェルＮＳ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ストナジェルサイナスＥＸ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
ストナプラスジェルＥＸ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
ストナアイビージェルＥＸ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
ストナファミリー,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
ストナＥＸ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
カコナールカゼブロックＵＰ錠,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
新コンタックかぜＥＸ,かぜの諸症状（のどの痛み、発熱、鼻みず、鼻づまり、くしゃみ、せき、たん、悪寒、頭痛、関節の痛み、筋肉
新アスピタＧＯ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新コンタックかぜＥＸ持続性,かぜの諸症状（のどの痛み、発熱、鼻みず、鼻づまり、くしゃみ、せき、たん、悪寒、頭痛、関節の痛み、筋肉
ルルカゼブロックα,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
テラポニンａ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新アスナミンＺ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
クミアイ新かぜぐすりカプセル,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛
ルルアタックＮＸプレミアム,かぜの諸症状（鼻水、鼻づまり、のどの痛み、せき、たん、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の
新コンタックかぜ総合ＤＸ,かぜの諸症状（のどの痛み、発熱、鼻水、鼻づまり、くしゃみ、せき、たん、悪寒（発熱によるさむけ）、頭痛
ロン三宝Ｋ顆粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ロン三宝Ｓ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
小児用かぜシロップ三宝,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ロン三宝ＩＰ顆粒,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ロン三宝ＩＰ錠,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ロン三宝ＩＰ顆粒ＥＸ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
フジコールＩＰ錠,かぜの諸症状（発熱、のどの痛み、鼻水、くしゃみ、鼻づまり、せき、たん、悪寒（発熱によるさむけ）、頭痛
ロン三宝ＩＰ錠ＥＸ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ＪＰＳかぜ１号錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ＪＰＳかぜ２号錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ＪＰＳかぜ５号錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ＪＰＳかぜ６号錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ペアコールＫ顆粒,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ペアコールＫ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ペアコールＳ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
リクレスかぜＥＶ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
とをしや感冒剤,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
パブロン５０錠《瓶》,かぜの諸症状（のどの痛み、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み、たん）の緩和。
パブロン５０顆粒,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、関節の痛み、筋肉の痛み、たん）の緩和。
ダイヤルかぜ７錠剤,かぜの諸症状（のどの痛み、せき、たん、悪寒（発熱によるさむけ）、発熱、頭痛、関節の痛み、筋肉の痛み）
ＪＰＳかぜ薬１号Ｇ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ＪＰＳかぜ薬２号Ｇ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
